student_id,age,grade_1,grade_2,grade_3,attendance_percentage,study_hours_per_week,midterm_exam_score,final_exam_score,pass
1,24,27,41,72,33,18,54,65,0
2,25,45,79,60,59,24,78,48,0
3,19,60,55,29,58,31,73,28,0
4,22,70,31,32,93,20,52,32,0
5,25,72,56,73,90,28,59,29,0
6,25,33,56,48,60,40,42,35,0
7,22,31,72,42,70,29,38,75,1
8,21,38,51,50,79,2,57,35,0
9,25,25,78,37,91,20,77,45,0
10,23,79,41,42,40,36,32,50,0
11,25,70,42,25,42,5,39,76,1
12,24,25,79,67,22,27,58,48,0
13,24,63,75,57,11,30,74,74,1
14,22,55,53,72,8,28,66,71,1
15,20,77,57,52,51,19,66,48,0
16,20,36,25,69,27,11,37,62,0
17,19,61,70,50,26,4,36,61,0
18,22,79,58,26,9,6,66,56,0
19,24,44,57,34,91,24,72,80,1
20,24,54,70,35,87,9,73,77,1
21,21,75,59,61,28,15,35,49,0
22,19,39,78,51,49,9,75,44,0
23,25,46,30,78,54,4,41,40,0
24,18,28,29,59,34,4,41,54,0
25,25,72,48,79,41,33,41,29,0
26,18,60,26,48,2,18,45,33,0
27,18,75,50,39,46,21,58,57,0
28,18,74,35,29,86,6,67,39,0
29,24,29,34,48,66,18,72,28,0
30,24,47,56,71,78,17,56,62,0
31,19,65,66,80,89,8,37,72,1
32,18,36,29,77,42,38,27,61,0
33,20,80,32,39,23,2,29,59,0
34,19,33,63,28,32,36,31,33,0
35,23,32,61,70,61,4,77,60,0
36,23,30,30,65,51,31,73,31,0
37,21,29,57,40,78,28,70,63,0
38,19,73,77,77,14,33,36,32,0
39,25,36,25,60,4,14,55,39,0
40,24,35,31,73,36,16,80,71,1
41,21,38,30,46,21,33,49,39,0
42,20,69,35,62,44,17,73,80,1
43,22,57,65,68,45,17,48,74,1
44,24,74,79,58,59,2,58,64,0
45,18,40,33,75,81,26,69,36,0
46,18,56,38,60,70,13,56,64,0
47,19,72,64,68,99,35,60,80,1
48,18,71,35,77,16,17,33,71,1
49,18,38,78,35,43,35,32,28,0
50,24,38,44,34,86,3,36,41,0
51,23,30,67,57,18,10,43,54,0
52,21,73,61,74,45,3,64,62,0
53,20,67,74,42,96,30,26,56,0
54,20,31,35,51,62,32,25,38,0
55,18,29,59,53,74,33,31,47,0
56,19,42,46,75,42,37,76,37,0
57,24,44,33,43,57,30,50,34,0
58,24,67,74,50,23,1,35,44,0
59,24,55,29,39,41,37,63,50,0
60,24,40,29,26,92,18,37,60,0
61,23,34,64,58,85,0,47,58,0
62,25,33,54,55,91,35,36,30,0
63,25,53,78,32,15,9,78,26,0
64,23,59,71,73,21,8,27,71,1
65,24,49,72,69,13,27,41,38,0
66,21,38,28,77,40,36,44,79,1
67,23,74,32,62,58,15,57,48,0
68,20,38,41,32,67,5,56,67,0
69,20,48,64,29,0,8,28,37,0
70,19,42,77,51,1,7,61,77,1
71,22,43,44,52,62,9,37,75,1
72,18,34,33,44,16,8,80,71,1
73,23,67,58,49,23,19,40,45,0
74,19,74,29,53,52,7,49,66,0
75,20,53,66,42,45,22,71,80,1
76,24,53,45,52,27,4,74,79,1
77,21,80,44,69,95,1,71,67,0
78,18,64,50,54,8,14,27,26,0
79,20,74,52,38,78,37,63,32,0
80,20,50,75,47,91,35,32,58,0
81,24,67,79,71,74,9,29,70,1
82,18,38,53,71,37,17,74,71,1
83,23,28,78,28,75,36,78,65,0
84,20,54,65,56,91,38,50,74,1
85,24,36,54,52,35,12,27,48,0
86,24,61,29,55,100,3,34,73,1
87,25,78,51,78,58,28,45,48,0
88,19,41,70,31,37,10,68,71,1
89,24,54,69,35,82,15,70,56,0
90,22,33,72,33,77,24,80,42,0
91,18,58,58,71,81,20,66,71,1
92,19,43,26,36,43,34,54,26,0
93,21,69,30,58,72,27,27,63,0
94,23,28,58,71,38,11,33,37,0
95,21,66,64,58,86,17,35,26,0
96,21,56,63,57,23,34,77,45,0
97,25,51,72,52,25,5,62,26,0
98,20,55,74,62,38,24,29,35,0
99,23,67,73,51,57,15,65,50,0
100,18,39,39,63,93,20,44,55,0
101,25,74,27,32,97,39,59,30,0
102,18,69,59,49,40,22,39,69,0
103,24,58,43,74,53,2,39,43,0
104,22,78,39,49,79,20,76,51,0
105,21,47,37,60,82,20,63,57,0
106,25,36,49,57,13,23,38,76,1
107,22,74,63,61,86,32,65,58,0
108,22,26,71,27,8,29,65,64,0
109,25,43,55,60,19,28,65,40,0
110,18,67,75,27,9,22,77,59,0
111,24,27,74,31,30,33,62,70,1
112,19,76,42,63,22,1,41,78,1
113,23,72,78,65,11,19,71,45,0
114,25,44,50,54,90,6,65,43,0
115,23,26,40,38,85,14,38,41,0
116,19,34,40,54,10,6,31,75,1
117,25,66,38,51,98,12,75,60,0
118,20,28,51,53,76,24,38,38,0
119,25,49,48,62,71,22,47,67,0
120,18,55,72,60,66,1,25,42,0
121,23,25,77,67,23,6,72,54,0
122,24,63,69,71,18,0,66,37,0
123,23,69,63,58,31,21,75,39,0
124,22,29,60,76,65,0,63,61,0
125,23,39,32,63,95,26,52,41,0
126,20,30,40,64,86,27,28,63,0
127,22,73,60,45,33,21,76,74,1
128,18,52,41,47,21,25,26,26,0
129,20,71,43,35,73,13,25,36,0
130,22,76,33,72,34,2,59,62,0
131,18,28,60,72,65,20,33,66,0
132,25,33,79,38,78,4,39,32,0
133,20,38,50,79,38,15,32,43,0
134,18,79,78,34,47,19,33,76,1
135,25,80,49,73,45,33,32,56,0
136,21,79,57,74,33,33,34,68,0
137,23,77,52,36,6,31,65,65,0
138,20,32,56,79,47,32,76,72,1
139,23,47,33,54,28,39,32,54,0
140,22,37,80,45,58,40,46,41,0
141,19,58,61,64,14,40,27,46,0
142,23,79,73,64,49,12,74,37,0
143,20,70,54,58,57,22,41,73,1
144,25,78,75,25,46,7,62,71,1
145,18,33,43,40,92,31,37,72,1
146,20,40,44,73,50,21,76,76,1
147,23,39,27,36,57,25,27,64,0
148,23,42,65,39,21,39,48,41,0
149,18,59,72,38,11,11,74,71,1
150,23,47,36,64,82,28,30,62,0
151,24,67,43,46,51,31,62,79,1
152,18,71,59,69,60,17,64,61,0
153,22,60,63,47,38,5,37,51,0
154,22,65,71,57,43,38,59,27,0
155,19,76,76,42,21,17,28,73,1
156,21,26,55,75,45,29,32,26,0
157,24,68,50,62,91,4,72,75,1
158,24,32,70,68,69,25,70,34,0
159,19,37,33,51,32,27,33,28,0
160,23,57,47,61,56,13,72,40,0
161,20,37,67,52,25,21,33,35,0
162,18,50,26,28,75,4,26,62,0
163,22,63,41,74,13,7,70,45,0
164,22,36,64,49,87,8,69,48,0
165,18,68,71,34,32,39,67,73,1
166,20,32,71,55,93,16,61,68,0
167,24,59,27,54,2,37,61,53,0
168,25,49,71,67,65,35,68,38,0
169,20,45,66,57,97,28,54,63,0
170,18,71,27,40,40,26,41,63,0
171,19,61,42,40,73,19,42,41,0
172,23,30,38,36,21,7,41,65,0
173,23,64,61,34,76,35,55,40,0
174,18,58,41,25,89,2,69,48,0
175,21,39,63,48,95,15,56,69,0
176,24,42,80,31,3,33,64,38,0
177,25,54,57,48,77,18,69,28,0
178,22,61,43,56,85,29,60,71,1
179,20,60,36,78,92,12,65,31,0
180,24,34,34,70,86,35,76,46,0
181,21,35,58,49,99,36,31,42,0
182,24,70,58,29,31,40,62,65,0
183,22,69,59,35,7,29,76,31,0
184,23,55,52,42,66,1,65,26,0
185,24,56,68,57,6,16,73,26,0
186,18,62,40,44,86,0,77,41,0
187,18,50,57,68,72,27,77,72,1
188,21,37,30,36,90,13,41,56,0
189,23,29,66,48,17,40,38,46,0
190,19,51,48,58,22,35,40,28,0
191,19,32,40,27,1,7,59,50,0
192,21,79,43,44,98,29,57,50,0
193,23,38,51,27,14,11,66,63,0
194,25,25,39,27,76,20,80,63,0
195,18,77,74,40,99,11,55,50,0
196,21,65,41,54,46,37,76,74,1
197,24,37,62,36,87,31,56,60,0
198,20,28,46,58,20,22,36,53,0
199,19,44,74,67,3,36,63,34,0
200,18,41,34,29,62,39,74,48,0
201,20,43,63,53,2,0,80,35,0
202,18,56,52,27,95,18,63,55,0
203,20,31,73,47,49,1,74,58,0
204,18,65,56,77,57,23,77,61,0
205,21,72,77,72,97,31,44,32,0
206,22,50,67,41,32,25,77,38,0
207,20,67,44,25,83,30,32,38,0
208,18,33,38,70,70,30,72,80,1
209,24,29,39,31,18,6,47,74,1
210,20,44,68,28,32,35,33,51,0
211,25,54,58,38,54,38,45,50,0
212,18,29,49,40,94,28,27,41,0
213,18,73,70,72,57,12,27,35,0
214,20,73,41,32,100,5,44,27,0
215,18,63,55,40,71,12,72,71,1
216,18,28,53,66,51,36,61,52,0
217,21,66,58,77,35,37,53,39,0
218,18,34,45,44,19,20,26,70,1
219,25,40,63,56,12,26,64,61,0
220,23,25,51,33,17,8,57,58,0
221,22,66,57,70,14,38,34,45,0
222,24,39,37,73,71,11,70,39,0
223,18,53,49,62,100,25,38,80,1
224,20,26,65,52,16,12,45,69,0
225,23,80,42,39,81,18,57,40,0
226,25,73,27,71,39,40,63,46,0
227,20,78,63,33,8,17,61,42,0
228,20,65,77,69,71,31,59,55,0
229,22,33,38,80,49,37,27,42,0
230,23,73,74,62,92,32,44,41,0
231,21,32,26,51,10,39,61,54,0
232,23,45,53,75,89,27,54,61,0
233,19,72,44,46,70,18,56,45,0
234,23,80,54,32,84,36,72,72,1
235,19,28,37,31,86,9,41,36,0
236,22,35,76,25,56,18,51,46,0
237,18,46,25,77,12,14,67,41,0
238,20,31,68,73,21,19,30,71,1
239,23,37,47,78,70,15,43,35,0
240,21,42,50,47,65,17,52,43,0
241,25,44,33,54,90,12,46,61,0
242,18,43,39,57,4,29,69,77,1
243,25,29,67,78,55,5,73,61,0
244,23,25,75,74,9,22,59,75,1
245,21,35,69,36,61,25,75,38,0
246,22,49,28,53,42,3,31,74,1
247,18,62,65,56,17,39,70,56,0
248,19,59,76,46,9,36,36,48,0
249,22,38,57,63,32,29,32,72,1
250,21,37,52,36,18,16,55,53,0
251,18,36,64,70,2,35,76,50,0
252,24,59,34,42,60,19,44,71,1
253,25,60,25,46,60,33,63,67,0
254,18,30,36,60,44,33,36,26,0
255,18,40,54,41,57,24,30,39,0
256,22,48,39,36,73,24,38,28,0
257,21,56,57,58,79,32,76,74,1
258,18,38,68,66,17,29,30,61,0
259,21,65,29,46,69,21,52,25,0
260,25,57,70,69,52,13,56,43,0
261,21,60,46,75,46,30,70,40,0
262,20,59,64,73,9,2,28,40,0
263,18,68,53,51,22,29,61,48,0
264,25,38,78,43,20,2,37,55,0
265,24,47,65,44,0,26,56,40,0
266,24,77,28,69,79,2,59,48,0
267,24,40,71,55,4,4,75,41,0
268,24,49,50,31,89,19,59,57,0
269,18,53,63,67,41,29,29,66,0
270,23,59,36,37,57,22,78,79,1
271,20,75,56,71,15,33,59,77,1
272,21,50,69,27,26,10,30,60,0
273,23,78,73,53,68,10,27,79,1
274,18,43,26,26,55,7,25,59,0
275,25,33,25,34,43,36,29,73,1
276,22,64,72,37,20,22,33,25,0
277,22,79,53,73,59,22,32,39,0
278,21,60,63,60,87,9,39,64,0
279,21,53,26,38,52,15,55,44,0
280,19,78,71,38,56,11,72,28,0
281,21,41,59,37,5,25,26,42,0
282,24,71,46,77,71,20,39,26,0
283,23,75,72,58,2,27,37,63,0
284,24,59,80,72,2,17,30,79,1
285,22,38,65,75,82,37,56,65,0
286,25,53,61,50,42,25,62,40,0
287,25,75,30,65,14,33,74,27,0
288,24,40,58,70,48,8,63,66,0
289,24,43,57,78,75,18,68,29,0
290,22,65,54,45,52,29,49,79,1
291,20,76,36,35,39,26,60,52,0
292,20,38,50,28,32,25,63,50,0
293,18,36,68,41,84,27,70,65,0
294,25,56,54,36,18,7,43,49,0
295,19,70,43,54,34,23,38,66,0
296,22,56,56,38,100,22,71,62,0
297,20,38,26,46,85,22,57,45,0
298,23,35,51,41,65,19,27,34,0
299,19,35,64,27,6,9,45,39,0
300,23,78,30,79,1,3,26,55,0
301,23,73,80,52,10,38,74,60,0
302,20,44,43,63,73,32,46,41,0
303,25,37,73,60,82,5,55,77,1
304,20,70,30,36,45,5,76,26,0
305,23,25,51,29,44,14,28,74,1
306,24,37,68,74,10,29,60,64,0
307,25,72,76,41,57,29,52,34,0
308,20,66,57,67,7,9,46,44,0
309,23,39,26,69,88,6,76,69,0
310,18,64,44,43,39,36,68,55,0
311,22,43,50,33,97,25,75,56,0
312,20,59,65,41,15,18,62,67,0
