id,apple,weight(g),type
1,smith,236,0
2,gala,84,0
3,fuji,168,0
4,crab,31,1
5,gala,143,0
6,gala,116,0
7,smith,266,0
8,fuji,116,0
9,smith,222,0
10,smith,274,0
11,smith,223,0
12,crab,38,1
13,gala,151,0
14,smith,219,0
15,fuji,135,0
16,gala,75,0
17,fuji,152,0
18,gala,66,0
19,fuji,157,0
20,crab,39,1
21,smith,272,0
22,smith,223,0
23,smith,247,0
24,gala,142,0
25,gala,73,0
26,smith,219,0
27,fuji,155,0
28,fuji,157,0
29,smith,265,0
30,fuji,141,0
31,gala,113,0
32,fuji,154,0
33,smith,240,0
34,smith,206,0
35,gala,121,0
36,gala,155,0
37,fuji,179,0
38,fuji,93,0
39,gala,95,0
40,fuji,149,0
41,gala,95,0
42,smith,299,0
43,smith,195,0
44,fuji,140,0
45,crab,41,1
46,smith,286,0
47,smith,243,0
48,smith,277,0
49,fuji,124,0
50,crab,59,1
51,gala,107,0
52,fuji,137,0
53,gala,129,0
54,fuji,148,0
55,smith,207,0
56,smith,187,0
57,crab,54,1
58,fuji,66,0
59,gala,87,0
60,smith,297,0
61,smith,244,0
62,fuji,145,0
63,fuji,154,0
64,fuji,97,0
65,smith,229,0
66,gala,136,0
67,gala,80,0
68,smith,181,0
69,gala,125,0
70,gala,166,0
71,fuji,115,0
72,smith,210,0
73,smith,185,0
74,smith,235,0
75,crab,43,1
76,gala,137,0
77,smith,219,0
78,smith,279,0
79,smith,289,0
80,crab,55,1
81,smith,220,0
82,gala,70,0
83,gala,171,0
84,crab,36,1
85,smith,203,0
86,smith,297,0
87,crab,64,1
88,smith,185,0
89,gala,144,0
90,smith,194,0
91,smith,248,0
92,smith,242,0
93,crab,45,1
94,smith,249,0
95,smith,240,0
96,smith,216,0
97,smith,231,0
98,smith,259,0
99,smith,212,0
100,smith,189,0
101,gala,98,0
102,fuji,157,0
103,smith,197,0
104,smith,239,0
105,fuji,110,0
106,smith,291,0
107,fuji,103,0
108,gala,73,0
109,smith,263,0
110,gala,171,0
111,smith,293,0
112,fuji,111,0
113,crab,63,1
114,smith,296,0
115,gala,155,0
116,smith,285,0
117,smith,181,0
118,crab,34,1
119,smith,288,0
120,fuji,179,0
121,fuji,83,0
122,crab,45,1
123,crab,42,1
124,fuji,146,0
125,gala,128,0
126,smith,181,0
127,smith,212,0
128,smith,255,0
129,fuji,171,0
130,smith,219,0
131,fuji,74,0
132,gala,136,0
133,gala,177,0
134,fuji,169,0
135,crab,63,1
136,fuji,158,0
137,smith,226,0
138,fuji,149,0
139,crab,58,1
140,crab,44,1
141,crab,45,1
142,smith,181,0
143,smith,248,0
144,fuji,81,0
145,gala,127,0
146,smith,282,0
147,crab,50,1
148,smith,288,0
149,smith,190,0
150,gala,161,0
151,smith,279,0
152,fuji,127,0
153,smith,274,0
